"STATUS";"Order";"Art No";"Description";"Rcv";"Rcv Type";"RcvCty";"SL";"Act Order";"Plan Date";"TotOrd";"TotBal";"TotDsp";"TotBook";"Orig Date";"L";"T";"Rcvd Date";"Tot Csm Qty";"Order2";"Transit";"EndRcv";"EndRcvType";"EndRcvCty";"ITMOrdPlan";"LatestStockAvailDate";"StockAvailDate";"VmrOrdRefNo";"DelInd";"OrdSrc"
Conf;2300000017;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;25-Jul-2025;12;0;0;12;25-Jul-2025;1;ZVMR;25-Jul-2025;12;;N;004;STO;CA;N;;;232310000210;;DSP
Conf;2300000018;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;28-Jul-2025;24;0;2;22;28-Jul-2025;3;ZVMR;28-Jul-2025;24;;N;004;STO;CA;N;;;232310000213;;DSP
Conf;2300000019;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;28-Jul-2025;24;0;12;12;28-Jul-2025;2;ZVMR;28-Jul-2025;24;;N;004;STO;CA;N;;;232310000214;;DSP
Conf;2300000021;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;31-Jul-2025;24;0;0;24;31-Jul-2025;2;ZVMR;31-Jul-2025;24;;N;004;STO;CA;N;;;232310000216;;DSP
Conf;2300000022;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;31-Jul-2025;24;0;0;24;31-Jul-2025;2;ZVMR;31-Jul-2025;24;;N;004;STO;CA;N;;;232310000217;;DSP
Conf;2300000026;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;31-Jul-2025;24;0;0;24;31-Jul-2025;2;ZVMR;31-Jul-2025;24;;N;004;STO;CA;N;;;232310000222;;DSP
Conf;2300000261;10299820;;025;DT;MY;9;N;08-Aug-2025;24;24;0;0;08-Aug-2025;2;ZVMR;08-Aug-2025;0;;N;025;DT;MY;N;;;232310000249;;DSP
Conf;2300000999;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;31-Jul-2025;24;0;12;12;31-Jul-2025;2;ZVMR;31-Jul-2025;24;;N;004;STO;CA;N;;;232310000216;;DSP
Conf;2300005999;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;31-Jul-2025;24;24;0;0;31-Jul-2025;2;ZVMR;31-Jul-2025;0;;N;004;STO;CA;N;;;232310000216;S;DSP
Conf;30000000003;10069107;ZAMIOCULCAS potted plant 6" Aroid palm NA;406;STO;ES;4;N;09-Jun-2025;1;0;0;1;09-Jun-2025;1;E;09-Jun-2025;1;;N;406;STO;ES;N;;;999999999999;;OFP
Conf;30000000003;10069107;ZAMIOCULCAS potted plant 6" Aroid palm NA;406;STO;ES;2;N;09-Jun-2025;1;0;0;1;09-Jun-2025;1;E;09-Jun-2025;1;;N;406;STO;ES;N;;;999999999999;;OFP
Conf;7200000058;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;30-Jun-2025;4;0;0;4;30-Jun-2025;1;ZVMR;30-Jun-2025;4;;N;004;STO;CA;N;;;232310000067;;DSP
Conf;7200000067;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZVMR;07-Jul-2025;8;;N;004;STO;CA;N;;;232310000083;;DSP
Conf;7200000070;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZVMR;07-Jul-2025;8;;N;004;STO;CA;N;;;232310000086;;DSP
Conf;7200000072;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZNB;07-Jul-2025;8;;N;004;STO;CA;N;;;232310000088;;DSP
Conf;7200000074;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZVMR;08-Jul-2025;8;;N;004;STO;CA;N;;;232310000091;;DSP
Conf;7200000075;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZVMR;08-Jul-2025;8;;N;004;STO;CA;N;;;232310000090;;DSP
Conf;7200000076;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZVMR;08-Jul-2025;8;;N;004;STO;CA;N;;;232310000092;;DSP
Conf;7200000078;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;2;N;07-Jul-2025;8;0;0;8;07-Jul-2025;2;ZVMR;08-Jul-2025;8;;N;004;STO;CA;N;;;232310000094;;DSP
Conf;7200000108;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;20-Jun-2025;12;0;0;12;20-Jun-2025;1;ZNB;11-Jul-2025;12;;N;004;STO;CA;N;;;;;DSP
Conf;7200000123;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;20-Jun-2025;12;0;0;12;20-Jun-2025;1;ZNB;15-Jul-2025;12;;N;004;STO;CA;N;;;;;DSP
Conf;7200000124;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;20-Jun-2025;12;0;0;12;20-Jun-2025;1;ZNB;15-Jul-2025;12;;N;004;STO;CA;N;;;;;DSP
Conf;7200000126;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;20-Jun-2025;12;0;0;12;20-Jun-2025;1;ZNB;16-Jul-2025;12;;N;004;STO;CA;N;;;;;DSP
Conf;7200000183;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;11-Jul-2025;12;0;0;12;20-Jun-2025;1;ZNB;11-Jul-2025;12;;N;004;STO;CA;N;;;;;DSP
Conf;7200000302;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;DT;;9;N;21-Jul-2025;24;12;0;12;21-Jul-2025;2;ZVMR;21-Jul-2025;12;;N;004;DT;;N;;;232310000184;;DSP
Conf;7200000391;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;20-Jun-2025;24;0;0;24;20-Jun-2025;2;ZNB;18-Jul-2025;24;;N;004;STO;CA;N;;;;;DSP
Conf;7200000399;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;21-Jul-2025;12;12;0;0;21-Jul-2025;1;ZVMR;22-Jul-2025;0;;N;004;STO;CA;Y;;;232310000184;;DSP
Conf;7200000399;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;22-Jul-2025;12;12;0;0;22-Jul-2025;1;ZVMR;22-Jul-2025;0;;N;004;STO;CA;Y;;;232310000184;;DSP
Conf;7200000601;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;22-Jul-2025;24;0;0;24;22-Jul-2025;2;ZVMR;22-Jul-2025;24;;N;004;STO;CA;N;;;232310000184;;DSP
Conf;7200000799;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;DT;;9;N;18-Jul-2025;12;12;0;0;18-Jul-2025;1;ZVMR;21-Jul-2025;0;;N;004;DT;;N;;;232310000183;;DSP
